lat,lon,alt,date,device,os,version
49.0570249,2.0425155,0,2015-03-15 09:53:15,"samsung jflte",4.4.2,1.0
49.0566806,2.0385429,0,2015-03-15 10:03:31,"samsung jflte",4.4.2,1.0
49.0570249,2.0425155,0,2015-03-15 11:12:06,"samsung jflte",4.4.2,1.0
49.0566806,2.0385429,0,2015-03-15 11:22:05,"samsung jflte",4.4.2,1.0
49.0570249,2.0425155,0,2015-03-15 11:32:05,"samsung jflte",4.4.2,1.0
49.0566806,2.0385429,0,2015-03-15 11:52:05,"samsung jflte",4.4.2,1.0
49.0570249,2.0425155,0,2015-03-15 12:12:03,"samsung jflte",4.4.2,1.0
49.0566806,2.0385429,0,2015-03-15 12:22:02,"samsung jflte",4.4.2,1.0
49.0570249,2.0425155,0,2015-03-15 12:42:01,"samsung jflte",4.4.2,1.0
49.0570249,2.0425155,0,2015-03-15 13:01:59,"samsung jflte",4.4.2,1.0
49.0627562,2.0427269,0,2015-03-15 13:21:59,"samsung jflte",4.4.2,1.0
49.0558906,2.0368646,0,2015-03-15 13:32:00,"samsung jflte",4.4.2,1.0
49.0549528,2.0372353,0,2015-03-15 13:51:58,"samsung jflte",4.4.2,1.0
49.0627562,2.0427269,0,2015-03-15 14:02:00,"samsung jflte",4.4.2,1.0
49.0570249,2.0425155,0,2015-03-15 14:21:59,"samsung jflte",4.4.2,1.0
49.0558747,2.0368135,0,2015-03-15 15:51:57,"samsung jflte",4.4.2,1.0
49.0498554,2.0349657,0,2015-03-15 16:11:58,"samsung jflte",4.4.2,1.0
49.0326038,2.0895907,0,2015-03-15 16:51:52,"samsung jflte",4.4.2,1.0
49.0325833,2.0896117,0,2015-03-15 17:11:51,"samsung jflte",4.4.2,1.0
49.03258,2.0895865,0,2015-03-15 17:21:51,"samsung jflte",4.4.2,1.0
49.0325913,2.0895833,0,2015-03-15 20:11:44,"samsung jflte",4.4.2,1.0
49.0325791,2.0895934,0,2015-03-15 20:31:39,"samsung jflte",4.4.2,1.0
49.0325039,2.0895548,0,2015-03-16 08:31:36,"samsung jflte",4.4.2,1.0
49.0376297,2.1262368,0,2015-03-16 09:41:35,"samsung jflte",4.4.2,1.0
48.9801573,2.2928373,0,2015-03-16 10:01:33,"samsung jflte",4.4.2,1.0
48.9532381,2.3368385,0,2015-03-16 10:11:33,"samsung jflte",4.4.2,1.0
48.9563797,2.3389614,0,2015-03-16 10:21:34,"samsung jflte",4.4.2,1.0
48.9689914,2.3399571,0,2015-03-16 10:41:34,"samsung jflte",4.4.2,1.0
48.957037,2.3382416,0,2015-03-16 11:21:34,"samsung jflte",4.4.2,1.0
48.9542498,2.3496642,0,2015-03-16 12:51:33,"samsung jflte",4.4.2,1.0
49.0529664,2.0370614,0,2015-03-16 16:21:31,"samsung jflte",4.4.2,1.0
49.0325911,2.0896002,0,2015-03-16 17:41:25,"samsung jflte",4.4.2,1.0
49.0325724,2.0895763,0,2015-03-16 18:41:25,"samsung jflte",4.4.2,1.0
49.0326043,2.0895981,0,2015-03-16 18:51:26,"samsung jflte",4.4.2,1.0
49.032607,2.0895864,0,2015-03-16 21:31:22,"samsung jflte",4.4.2,1.0
